"nrg_bal","siec","unit","geo","time","values","hdd.ind","pop","demand","fechh","fechh.cap"
"FC_OTH_HH_E","TOTAL","KTOE","BE",2013-01-01,9098.495,1.12,11137974,0.74,8377.114325,0.000752121914182956
"FC_OTH_HH_E","TOTAL","KTOE","BG",2013-01-01,2241.036,0.92,7284552,0.53,2344.31852869565,0.000321820549663954
"FC_OTH_HH_E","TOTAL","KTOE","CY",2013-01-01,306.622,0.93,865878,0.35,314.699676344086,0.000363445746795837
"FC_OTH_HH_E","TOTAL","KTOE","CZ",2013-01-01,7269.133,1.03,10516125,0.68,7125.16182213592,0.000677546322636515
"FC_OTH_HH_E","TOTAL","KTOE","DE",2013-01-01,62517.628,1.06,80523746,0.66,60182.0637841509,0.000747382812818357
"FC_OTH_HH_E","TOTAL","KTOE","DK",2013-01-01,4484.149,1.04,5602628,0.63,4375.49462038462,0.000780971826147411
"FC_OTH_HH_E","TOTAL","KTOE","EE",2013-01-01,933.506,0.96,1320174,0.73,961.900140833333,0.000728616183043548
"FC_OTH_HH_E","TOTAL","KTOE","EL",2013-01-01,3821.337,0.89,11003615,0.54,4076.37904247191,0.000370458166927134
"FC_OTH_HH_E","TOTAL","KTOE","ES",2013-01-01,14918.435,1.06,46727890,0.43,14555.3259216981,0.000311491186991283
"FC_OTH_HH_E","TOTAL","KTOE","EU27_2020",2013-01-01,266311.872,1,441257711,0.64,266311.872,0.000603529106372942
"FC_OTH_HH_E","TOTAL","KTOE","FI",2013-01-01,5172.734,0.94,5426674,0.67,5393.95092212766,0.00099396995694373
"FC_OTH_HH_E","TOTAL","KTOE","FR",2013-01-01,46112.909,1.1,65600350,0.65,43388.0552863636,0.000661399752994666
"FC_OTH_HH_E","TOTAL","KTOE","HR",2013-01-01,2493.049,0.95,4262140,0.67,2580.96178052632,0.000605555373715156
"FC_OTH_HH_E","TOTAL","KTOE","HU",2013-01-01,6209.747,0.96,9908798,0.72,6396.03941,0.000645490947539752
"FC_OTH_HH_E","TOTAL","KTOE","IE",2013-01-01,2928.122,1.03,4609779,0.62,2875.24523378641,0.000623727348705092
"FC_OTH_HH_E","TOTAL","KTOE","IT",2013-01-01,34230.62,0.98,59685227,0.66,34691.6854938776,0.000581244090667152
"FC_OTH_HH_E","TOTAL","KTOE","LT",2013-01-01,1467.198,0.98,2971905,0.71,1488.45739959184,0.000500842859913704
"FC_OTH_HH_E","TOTAL","KTOE","LU",2013-01-01,499.205,1.1,537039,0.84,461.083890909091,0.000858566865551833
"FC_OTH_HH_E","TOTAL","KTOE","LV",2013-01-01,1267.242,0.98,2023825,0.66,1284.31097387755,0.000634595863712303
"FC_OTH_HH_E","TOTAL","KTOE","MT",2013-01-01,73.999,0.87,422509,0.2,76.2104643678161,0.000180375954992239
"FC_OTH_HH_E","TOTAL","KTOE","NL",2013-01-01,11412.549,1.11,16779575,0.63,10700.0358056757,0.000637682170476647
"FC_OTH_HH_E","TOTAL","KTOE","PL",2013-01-01,20492.342,1.01,38062535,0.65,20360.4605910891,0.000534921297046797
