"nrg_bal","unit","geo","time","RA000","RA200","RA410","RA600","TOTAL","share","sharenobiom"
"FC_OTH_HH_E","KTOE","PL",2009-01-01,2494.164,10.987,6.019,28.988,19991.704,12.5,0.2
"FC_OTH_HH_E","KTOE","PT",2009-01-01,1181.714,0,20.923,0,3197.832,37,0.7
"FC_OTH_HH_E","KTOE","RO",2009-01-01,3405.321,10.748,0,0,8015.179,42.5,0.1
"FC_OTH_HH_E","KTOE","SE",2009-01-01,702.308,0,9.888,0,7232.548,9.7,0.1
"FC_OTH_HH_E","KTOE","SI",2009-01-01,550.128,0,7.667,6.562,1320.449,41.7,1.1
"FC_OTH_HH_E","KTOE","SK",2009-01-01,38.669,0,0,0,2147.493,1.8,0
"FC_OTH_HH_E","KTOE","AT",2008-01-01,1672.337,0,72.596,54.523,6392.814,26.2,2
"FC_OTH_HH_E","KTOE","BE",2008-01-01,419.108,0,5.111,0,8990.099,4.7,0.1
"FC_OTH_HH_E","KTOE","BG",2008-01-01,639.367,0,0,0,2113.463,30.3,0
"FC_OTH_HH_E","KTOE","CY",2008-01-01,55.264,0.263,47.65,0,333.109,16.6,14.4
"FC_OTH_HH_E","KTOE","CZ",2008-01-01,1391.811,0,3.676,24.421,6512.139,21.4,0.4
"FC_OTH_HH_E","KTOE","DE",2008-01-01,7302.778,5.756,361.852,342.314,62663.086,11.7,1.1
"FC_OTH_HH_E","KTOE","DK",2008-01-01,979.533,0,9.196,76.168,4501.163,21.8,1.9
"FC_OTH_HH_E","KTOE","EE",2008-01-01,388.363,0,0,0,951.951,40.8,0
"FC_OTH_HH_E","KTOE","EL",2008-01-01,874.248,0.191,210.184,0,5270.447,16.6,4
"FC_OTH_HH_E","KTOE","ES",2008-01-01,2154.54,5.374,94.542,0,15542.525,13.9,0.6
"FC_OTH_HH_E","KTOE","EU27_2020",2008-01-01,43877.793,31.743,964.59,1207.161,264057.143,16.6,0.8
"FC_OTH_HH_E","KTOE","FI",2008-01-01,1214.507,0,0.764,0,4991.512,24.3,0
"FC_OTH_HH_E","KTOE","FR",2008-01-01,6943.963,0,46.838,672.109,44171.591,15.7,1.6
"FC_OTH_HH_E","KTOE","HR",2008-01-01,1071.124,0,2.771,10.6,2590.941,41.3,0.5
"FC_OTH_HH_E","KTOE","HU",2008-01-01,915.664,0,3.678,0,6017.799,15.2,0.1
"FC_OTH_HH_E","KTOE","IE",2008-01-01,32.333,0,3.15,8.752,3508.781,0.9,0.3
